Model,Accuracy,Precision,Recall,F1
Manual Hinge,0.8871,0.8744939271255061,0.9046669325887515,0.8893245760219586
Manual Squared Hinge,0.9035,0.8950243902439025,0.9148384523334663,0.9048229608442647
Manual Logistic,0.8766,0.8662790697674418,0.8915037893897089,0.8787104383723217
Sklearn LinearSVC,0.9058,0.896726422447389,0.9178300757877942,0.9071555292726198
